document,label
i could easily describe this transformed feeling as hopeless but it was an anesthetized type of hopelessness,sadness
i am feeling so nothing that i am not even getting agitated anymore,anger
i also know that if i forget for a period of time it would cause tension or a feeling of unease that maybe i am mad at him,anger
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger
i feel like hes trying to be the one to comfort me and help me get over yash which is sooo sweet of him but at the same time it makes me love yash more because he cant compare to yash i feel like i cant trust fateh,love
i feel like a less melancholy holden caulfield,sadness
i cant stop talking even though im already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word,fear
i feel like a mouse among men perpetually terrified,fear
i feel some sort of treachery towards beloved if i do go out and fuck someone,love
i feel fond toward though they may not realize it,love
i think about how great everyone elses life is i feel that much more crappy about mine,sadness
i am feeling in a generous mood and a mood of gratitude,love
i feel hateful to have given up my friendship with that woman and a couple of others for the same reasons to admit defeat and let my husband make me feel so insecure that i feel the need to avoid her cut her out of my life so that my securities is not challenged,anger
i hope my condescending attitude will allow present me to feel offended and as such remember that the amount of sunlight affects plant growth,anger
i feel hopeful that we are already taking important action to make these necessary and important changes and that we will actually make an effective change and make it soon,joy
i feel unsure or scared i talk,fear
i feel dirty srcurl http draftbloger,sadness
i feel nevertheless not convinced which g is the be all and end all which sprint is creating it away to be,joy
i still feel innocent and small,joy
i was out until at a social gathering so i feel a bit groggy today,sadness
i was feeling pissed then,anger
i are feeling horny and decide to give a double header long wet sloppy blowjob,love
being subject to unfair treatment in a working group,anger
i are celebrating this holiday with her parents and extended family but my heart feels empty knowing my son is alone and struggling with his life,sadness
i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,love
i feel bitter theofilou said of the lack of support to nods of agreement by kastrioti who waited for her turn to board,anger
i start writing i feel affectionate interested and frustrated,love
i think people are merely lacking of professionalism and ethics when executing their duties which gives rise to condescending attitudes feeling superior when all they do best is boiling water and being completely imperturbable when making mistakes which may be utterly cataclysmic to others,joy
i am not able to show that directly and so i feel suffocated and irritated,anger
i feel complacent if i were to choose the secure path probably not i think id find adventure in anything,joy
i now feel a longing for knowledge,love
i always got the feeling she hated me,anger
i feel a bit ashamed that its taken us nearly a month to build this thing but with nathans crazy work schedule and my limited abilities with power tools we were only able to work on it for short spurts at a time,sadness
i feel agitated annoyed and i see feel the darkness everywhere,fear
i feel like i m damaged goods and that he deserves better than this,sadness
i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways,love
heated discussion with spouse concerning new house,anger
i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,joy
i feel somewhat hopeful about things,joy
i wear my perfume i feel elegant and beautiful,joy
i feel nothing through long stretches of time im convinced nothing has worked,joy
i feel grouchy or short tempered then the guilt kicks in,anger
i had a feeling bernd would have odds this week around to and that is more than generous of the sportsbook,love
i am feeling all useful,joy
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,fear
ive had a feeling of being satisfied with the performance of my car,joy
i was feeling rather horny though img src http s,love
i tend to come away feeling insulted by books that deny them,anger
i feel so despised and i feel this world is crumbling onto me again,anger
i feel that it is my duty to athf and their devoted fan base to show my support,love
i never feel deprived and i most certainly never go hungry,sadness
i hurt and feel suspicious and definitely get angry,fear
i feel a little strange recommending this one because i wrote the first night marshal book and invited glenn to write the second,fear
i was feeling very resentful,anger
i feel reassured that fashion sometimes takes itself not so seriously and i can smile and feel better about the whole deal,joy
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear
i feel ugly i mean i m being calle,sadness
ive been feeling vaguely dissatisfied with reel pros since i signed up a few weeks ago,anger
i didnt feel disheartened,sadness
i just want the best for that boy maybe i can really stop feeling like im a heartless bitch,anger
i can not see friends and for the most part i feel like leaving my bedroom could be dangerous,anger
ive been devoting myself to you monday to monday and friday to friday not getting enough retribution or decent incentives to keep me at it im starting to feel just a little abused like a coffee machine in an office so im gonna go somewhere cozy to get me a lover and tell you all about it,sadness
i realized what i am passionate about helping women feel accepted and appreciated,love
i do i hold onto them i look into their eyes and breath them in and i feel immensely deeply thankful,joy
i believe that if i by myself make a person feel uptight and want to be envous of me then they have another sin called jealousy,fear
i feel like im damaged goods hah,sadness
i feel like a letdown and i feel like i allow myself to be hurt,sadness
i refuse to allow my wonderful feeling to be disturbed by all the crazy,sadness
i always feel a little ashamed of my american history knowledge so i like to learn more when i can,sadness
ive also made it with both sugar measurements but i feel like cup is just too sweet for me,love
im feeling generous ahahahaha im so morbidly funny,joy
i kept thinking that if i had the right mindset if i put enough effort into pushing away the feelings then i would not be afraid,fear
i feel so dull and drowsy all the time,sadness
i am feeling the need the longing for the flowers the birds and the warmth of the sun,love
i feel like he is snobbish snooty gauche a drunk and offensive,anger
i didnt feel like suffering through a sleepless night especially with my terrible allergies amp amp fever,sadness
i feel very distraught right now,fear
i feel like perhaps as soon as i grabbed onto him i should have followed him out and beaten him up,sadness
i do find myself feeling distraught about getting older and stressed about the impending responsibilities that are to ensue i am generally content with only a little bit of repressed anger that makes it s appearance only when it s instigated,fear
i had been indifferent to tell the feelings and words i had treasured ever since the feeling start to bloom are one of the moments i want to keep,love
i feel like i should mention there was another sweet family with us,joy
i feel when that imperfection is shamed coerced or mocked,sadness
i feel like i need to be some tortured soul in order to create words or whatever,fear
i have i feel excited nervous and a little bit sad,joy
i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while,fear
i guess it all just depends on my mood whether im feeling sociable or not,joy
im feeling rather pleased with myself tonight because i did that,joy
i feel truly impatient that this is taking so long,anger
i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger
i still didnt feel like the problems had really been resolved,joy
i felt afraid just before receiving the question paper of the part ii exam,fear
im not only thankful that everything seems to be working out as i wrap week at my new job but also feeling pretty lucky to have the people we do in our lives,joy
i completed feeling invigorated not sluggish its ffviii,joy
i just have this awful feeling that im going to do something really idiotic like decide to make my simple quick to make mini tote a more tricky project by deciding to use two pieces which need to be stitched together,sadness
i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi,anger
i made the choice to start recognizing when that feeling of being unloved kicks in and to choose to keep my persistence at the same level not allowing that old reaction to shut me down,sadness
i feel now so uncomfortable with all of them i guess is me,fear
i feel like im talented enough to really deliver the line and make the listener hear the,joy
i still get excellent feedback from unlikely people friends of my parents team mates co workers and the support really makes me feel like im doing something worthwhile,joy
i spent much of the morning feeling like an impostor or a visitor in someone elses life and uncertain what if anything i should do next,fear
i loathe it as a gamer said molyneux adding that it just makes me feel insulted,anger
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger
i feel like i deserve to be punished in some way amp search out ways to do that self harm non lethal overdose etc,sadness
ive definitely had that underwater feeling lately so i was relieved to take part in a lenten service at church today one designed to clear the head of transitory concerns,joy
i feel so violent just want to break some glass,anger
i feel a little uptight because i have to really be conscious and careful about everything that happens,fear
i cant even pay attention because i feel so lame watching it,sadness
i feel all hot and bothered and most of all i worry and worry some more and boy do i worry,love
i feel unwelcome in this home of mine,sadness
i have noticed my own increasing frustration with what i feel to be petty artificially created drama,anger
i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing,anger
i feel more useful,joy
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy
i had been feeling was all my fault that i had wronged her and caused her to abandon me,anger
im currently feeling cranky for silly reasons im now going to complain,anger
i write when i am feeling happy and childish,joy
i love the feeling of running in the cold when you can see your breath and cold air seems to refresh you from the inside out,anger
i grabbed him by the collar and pulled him against me in a passionate tonguey kiss feeling his long member slide between my waiting ass cheeks as it pulsed on the frantic bud of my clit,fear
i have a feeling i took so much time but kuya buddy and kuya angee have been very supportive all the way,love
i don t feel that irritated,anger
i liked boys and didnt feel inhibited by them,sadness
i feel after venting to a notebook is amazing,joy
i feel so blessed now that i think something tragic is going to happen to me in the future huhuhu see i m still battling that thinking positive thing,joy
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality,anger
i always feel this tangle in my stomach i never just feel content and wanted,joy
i feel i should be at and the pay is too low to maintain life in the city,sadness
i feel sorry for those who taps and feeds from others good intentions,sadness
i feel so disappointed,sadness
i think i am starting to feel jealous,anger
i am supposed to feel doubtful but i still think i forget sometimes how amazing it is that i am living in this city and that i get to work with such inspiring young women at my internship,fear
i really do feel as if i can finally create something lovely in my new room,love
im feeling pretty miserable and sorry for myself,sadness
im so going to end up feeling slutty and be like ah,love
i am your friend then why do i sometime feel so insulted around you,anger
i feel hateful of everything suddenly,anger
i have teamed it with a slouchy studded jacket that i picked up from warehouse in the sale and feel nicely smart,joy
i often feel overwhelmed with all of the office and administration work required of the teacher,fear
i start to feel agitated inside,anger
i feel intimidated by the wide open design and therefore find it hard to write,fear
i do feel confused,fear
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,anger
i feel like such a confused person lately sigh,fear
im feeling less like a woman and more like an embarrassed girl,sadness
ive been feeling so anxious and nauseous and tired but also so elated that some nights its all i can do to crawl into bed,fear
i ignored her minor tantrum and jumped down from the table beginning to pace again and feeling agitated,fear
i will never make him feel disliked and like he is a bad kid if he is only acting according to how i raised him and he is acting liek a year old child,sadness
i got on and was nervous feeling very timid and shy but after a while we were talking like weve known each other our whole lives,fear
i feel angry thinking how much the government has gulped away over money,anger
i don t feel that i am being punished for hidden sin in my life,sadness
i feel very energetic to cook something very special i decide to prepare at least one dish with posto and the other days when i simply dont remain in the mood of cooking at all i again look for posto,joy
i miss the feeling of someone actually caring about what is going on with me and how i am feeling,love
i want her to still feel appreciative of things i do for her,joy
im feeling playful already,joy
im really feeling very disheartened by it,sadness
im frightened and feeling paranoid,fear
i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,fear
i feel agitated and empty and missing something,anger
i dont have much art online that i feel properly represents my skillz an unfortunate scenario i know,sadness
i am feeling very energetic now,joy
i feel so blessed to know that i have such an immense family of supporters whom continue to comfort me,love
i feel ashamed youre perfectly fine granting,sadness
ive been feeling a bit discontent with my music for a while now,sadness
i know that the amount of control i feel i need to have over my life is over the top so i continue to work at keeping faith and trusting that life is unfolding as it should,joy
i had promised her i will buy their cupcake bt im feeling shy to face her n thn miss it,fear
i feel vital full of energy every day and super positive,joy
i am feeling a bit miserable or passionate about something its all just in the moment,sadness
i have an ironic feel i dont feel anything special but i still smile broadly whenever he tells me something,joy
i feel irritated that he either interrupts my quiet time or wakes me up,anger
i feel like a snow globe that has been all shaken up and i m still waiting for the dust to settle,fear
i feel can be bad for some can we talk about oversharing too much and how people think it is a diary of their life,sadness
i can barely stand the sight of a dog wearing a choke collar because i feel the dog s suffering,sadness
im suddenly feeling lighter less burdened by the weight of my life,sadness
i was curious why paying for two large sandwiches would make him feel respected,joy
i love the look of the black and i feel like that would be the smart choice but im kind of drawn to the rich blue or grayish blue,joy
i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god,fear
i smiled to myself musing probably feeling superior just as i felt somehow superior to all these fresh scrubbed college folks off to slum among the huddled masses,joy
im feeling less generous i call her psychotic,love
i get involved into a tale of good versus evil i want to feel afraid of the dark to a certain extent,fear
i feel like im really settling into my life here and like im finally back in the spain that ive missed for more than years,sadness
i havent been feeling incredibly passionate about medicine recently in fact i havent been feeling particularly passionate about anything,love
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
i hate feeling that a day got away from me and nothing not one thing productive got done,joy
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation,fear
i feel i am completely dissatisfied with the whole world and all human characters are inconsistent,anger
i didnt feel like anyone really hated me or noone new anyway and i managed to just not think about those who do,sadness
i murakami but the first that i feel captures what makes him so beloved by his fans,joy
i feel him her in the gentle breeze,love
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy
i feel so privileged to share that love with five lovely students,joy
i feel that some violent natures are generic,anger
i need some to hold me to hug me like they love me really love me to be there in quiet to just sit to be there just to stop me doing something stupid it cant be my parents cos i know id just run i cant run from other people i feel rude,anger
i feel bitter that my cancer was relegated to unnecessary to meet with someone as important as an oncologist,anger
i feel so blank and then like im going to explode,sadness
i am feeling impatient and would just like to get on with life i am in no hurry to push myself right back into illness,anger
i sat down at the computer feeling nervous excited and more than a little silly,fear
i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,anger
i felt i handled it okay but the class really began to feel like instead of caring about the subject matter it was turning into a fight for my grade,love
i feel like being sociable having someone over or going out and chilling somewhere,joy
im feeling peaceful and im happy that i dont have to do anymore scabi im in verona my final week,joy
i feel the delicious heartburn,joy
i feel out of longing is actually being sublimed,love
im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger
i feel like every day i grow stronger and become less needy of someone to fill that role,sadness
i feel like im in such a strange place in life no one to take care of and no one who cares,fear
i feel so bitchy suddenly,anger
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,fear
i feel it is important to support young people in their creative endeavors,joy
i wasnt feeling so ashamed that i spent a whole lotta time and precious energy doing this mind you,sadness
i mean when i say i used to feel like an ugly brown pair of shoes ask him to change your mind,sadness
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear
i feel kind of dumb for saying this but i was just upset at how much strength i lost during the last few months,sadness
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,anger
i find myself whinging about the temperature every day at the moment but it does feel ridiculously hot,love
i determined to have a read of the backdrop and that old feeling it s been a while since i ve bothered to examine adventure path material almost immediately began to emerge what i would call the take away phenomenon,anger
i feel like kierkegaard a hated and lonely philosopher,anger
i have been feeling so drained like there is no strength left inside of me to fulfill the simplest of tasks,sadness
i feel the eyes on me the hateful eyes on the other side of the glass that belong to the family members of my beautiful victims,anger
i go back to feeling smart again,joy
i was feeling amorous,love
when i was about six years old,fear
i just smile because it feels rude not to do so if you make eye contact i also can t really help myself,anger
i also feel fairly confident about how i made a realization realization made with the help of dr,joy
i did cry more than i ever have i actually rarely cry but sometimes i get to the heart of my pain over men in general and my feeling that i am damaged somehow and that s why no one likes me so maybe that was it,sadness
i had a feeling that was going to happen once i accepted the job offer because life likes to throw you lots of curveballs,love
i feel strange out of sorts and i wont resort to this again,fear
i feel that it is important to write about what happened to heal and i am sure there are many out there who need to see how someone deals with it all to find the strength to heal as well,joy
i feel rather petty that i just dont have time to have someone talented like christine make it,anger
i know it s best to support low arches and the footbed of these feels supportive without feeling too high,love
ive been feeling particularly thankful for my husband which is a sure sign i have a brain tumor or something terribly amiss with my noodle,joy
i use this as a ugh its been a long week lets make myself feel pretty mask and ive honestly been loving the effects,love
i feel supportive over chinas copyright violations if only for machiavellian reasons,love
i started feeling reluctant to go because i wanted to spend some time with my family before i left,fear
i feel to it and it benefits from a generous budget for exotic sets and gorgeous matte paintings,love
i got to feel that kind of joy was during college and even then i was still caring for others providing for others and just generally being elizabeth,love
i hate feeling this loyal to this damned company,love
i feel like im doomed until he returns,sadness
i went to dads caught up with alice watched idol which was extremly crap and boring i dont know why i watch it but i feel like i need to be loyal to it,love
i feel like most designers shy away from using color in the kitchen so i just love how julia incorporated bright splashes of orange blue and green throughout the space,fear
i used to down a large mushroom pizza and a pitcher of beer and feel positively virtuous afterward,joy
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger
i feel so delighted when the varsities picked me to be their muse,joy
ill admit it im bitchy sometimes but i feel as time goes by im getting more bitchy with him than my other relationships that went past the month mark,anger
i am responsible and would feel terribly dismayed at my lack of caring towards my job but lately i really have been irresponsible in regards to my shit job and i dont even feel like im letting anyone down,sadness
i feel that i am not accepted and am forced to hide this part of who i am,love
i ended up shoeless making me feel even more vulnerable and slowing me down further,fear
i never feel accepted,joy
i probably love a handful of friends too but i always feel a bit strange when describing this as love,fear
i feel the need to jump through a bunch of hoops to enable myself to watch by beloved often befuddled bengals just in time for them to start losing again,love
i remember in particular one new years day in high school when i was feeling all tragic and melancholy and generally fifteen year old girl ish,sadness
im just happy to be feeling something because for the last few days ive felt pretty,joy
i would hate to be bit imagine if the secretary is feeling irritable that day eh,anger
i turn feeling ridiculously awkward and very self conscious to face zayne,sadness
im feeling gloomy today,sadness
i feel like i have a plan that will make me happy and allow me to help my family better in so many ways,joy
i feel lonely leave a comment,sadness
i always feel that accessories are the most important part of an outfit as they really pull it together so ive tried to choose jewellery which adds a little bit of sparkle to the outfits without being too in your face,joy
i read the sentinel article on hanford city councilman dan chins proposed media policy and the secret committee meetings my feelings could be summed up in a single word alarmed,fear
i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,fear
i only want jayson cause i feel that hes the most supportive person and he is the person that will be able to help me through the delivery,love
i can just feel all of our stress and discontent levels rising,sadness
i tell mummy that my stomach really not feeling well i really wanna go to toilet mummy ask me keep on eating,joy
i feel relaxed energized and im breathing more fully without extra effort,joy
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i feel so rich when i pass by you i see a penny,joy
i usually don t wear glasses at first i had uncomfortable feeling like irritated but lately i feel comfortable to have it,anger
i feel privileged to belong to you,joy
i felt disgust of dirty,anger
i am feeling sympathetic with the israelites,love
i feel he was eager to help,joy
i havent felt like the real me in a while so the good feeling is welcomed with open arms,joy
when in a car accident where car was total wipe off wipe out,fear
i have been feeling very sad today and i dont know how to fix it,sadness
i feel a little foolish for ever having left duluth,sadness
i am feeling pretty shaky and sad,fear
i feel really horny when i wear them they hug my c k balls really nicely,love
i feel like i am being obnoxious by posting every three seconds,anger
i feel hated by my parents,anger
i have grown i m blessed i m proud to say that i am a healthy year old black male with no children and it feels good,joy
i struggled with feelings of anger hurt and sadness yet i still felt hopeful,sadness
i feel like i have been waiting a lifetime to be in this unfolding experience as always excited to share whatever it is that i am learning that is unfolding for all of us to experience with full awareness,joy
i feel and bring him and coming against a savage the wax doll in the clouds blown across to tak my own feeling that be the bare feet were they were moving fast as i brought it as i love in a time for he yet i made him,anger
i feel like most books will contain some kind of romantic undercurrent and while this one did it was a lot more subtle than other books are about it,love
i am feeling a little nervous and anxious but never second guessing my decision,fear
i can still feel all my muscles aching,sadness
i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something,fear
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger
i spent a lot of my childhood feeling completely frightened of her but i remember a lot of good things too,fear
i try to approach this thing called nature which is something im feeling a bit envious about,anger
i still cant shake the feeling that i might be unwelcome,sadness
i just feel like a very successful year old,joy
i did feel a bit like i was being mircowaved which wasnt an entirely pleasant feeling,joy
i begin feeling remorseful for not being more selfless and spreading the gospel,sadness
i feel relaxed whenever i have the privilege to love and serve people,joy
i break down and it leaves me feeling bitter,anger
i am still feeling pretty optimistic and confident in my ability to be able to do this,joy
i forgive myself for accepting and allowing myself to feel humiliated and rejected because someone was chosen over me,sadness
i feel rebellious even,anger
i could feel her eyes on me hot on my skin,love
i am saying that i am feeling helpless now that i have to walk on toes,fear
i didn t feel very reassured by her tone but i understand this is a big shock and adjustment for everyone,joy
i didnt feel cheated or deprived,sadness
i feel so cranky and disconnected,anger
i haven t been able to shake this akward and unusual feeling i feel irritable and space out all the time feels like i was surged as well as my computer,anger
i dont know about you guys but i certainly feel fabulous about myself,joy
i woke up feeling distraught,fear
i should be able to head shot someone at the other end of a football field because i feel threatened by them,fear
im looking forward to feeling hopeful instead of hopeless,joy
i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,anger
i want to make is this final one when we feel abused at these writers faking it we rupture the reader writer relationship,sadness
i do this because the worse they are the more justified i feel a needy man on the street suddenly represents a threat to my very peace and freedom,sadness
i couldn t help but feel personally insulted when oscar denounced the very idea as grotesque and unrealistic,anger
i havent cried in the last day or two but instead i feel positively convinced that god has a plan and purpose for me and all that i do,joy
i wonder if mind readers draw a blank when they get around stupid people and when stupid people leave a room does it feel like somebody smart just walked in,joy
i can break myself out of having this dream as it leaves me feeling groggy and disoriented and i dont like it,sadness
i do feel confident that ill be able to compete on price my product is some of the most affordable on etsy but what if people would rather pay more for pompoms and multi colored braided ear flaps,joy
i expressed my concerns that jens mobility had really declined to the point that she now sometimes uses crutches and on a good day the doctor suggested occupational therapy and said he would contact our local occupational therapist and we went on our merry way feeling rather disheartened,sadness
i feel distracted or scattered i take a few moments to close my eyes and just breathe,anger
i am quite perplexed by liam i m trying to figure out if he s always been submissive or does he feel he needs to be submissive to mark and johnny,sadness
i get the feeling he needs to feel accepted and appreciated,joy
one of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully,anger
i surmise that after i have made myself sick one too many times on take out and sitcom re runs that i will come around again into feeling dissatisfied with a stationary life without much forward motion,anger
i do my best but it feels uncomfortable,fear
i feel xs more indecisive,fear
i practically got the feeling of a hostile environment,anger
is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,joy
i feel this strange sense of importance of life and the world when i stare at the stars all night,fear
i get a feeling that why did i pay for getting so fucked,anger
i feel pressured to say something,fear
i do not feel frantic,fear
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,anger
i walked into the dawn treader feeling fairly skeptical and walked out with three great books one was a hardcover book in japanese that i picked up for my mom for,fear
i just am so tired of feeling lonely and yet when someone comes along who can take away that feeling i run away,sadness
i refuse to let myself feel bitter about the small sacrifices we have to make,anger
i mean the blinds that you could pull down when you were feeling particularly romantic,love
i feel like i should have actively hated every single second rather than just borne it all,anger
i feel a little sad about it but christmas is hardly on,sadness
i do not do these things to torture you i am feeling tortured myself at the moment,anger
i straight away started to feel my blood boil anger coming over me and that very nerve getting agitated,anger
i know the effects of my day to day happenings on my serenity are so subtle at times that i end up feeling irritable and discontent without knowing why,anger
i feel artistic,joy
i have a sense of both in my mind s eye i feel that divine energy way up aloft and i experience its reflection in me sometimes like a rare sunny day in a rainy climate,joy
i as many others are feeling helpless that we as a world can not hold the grieving parents hands especially the mothers and grandmothers of nigeria as they desperately wait for assistance to have their girls return back home safely and let their laughter ring out through their home once again,fear
i always feel as though it is my role in life to be supportive to my friends as an example of joy and fun to remind them that life is good that we are good and that when they and we are not we can strive for them to be so,love
i feel as though im supposed to be sympathetic but im having a hard time feeling that way im finding the repetition more annoying than anything else and im afraid its showing,love
i feel damn lame hahahahahha,sadness
i know i need sleep feeling dissatisfied with myself for what i ve yet to accomplish instead of glowing with pride at all i ve done,anger
i feel like i am so devoted to so many other things that my time is being split up weirdly,love
i get to tell her that i love her to make her feel valued and appreciated to tell her how beautiful and intelligent she is i do,joy
i almost always feel awkward,sadness
im feeling stressed retail therapy is the way,anger
i feel groggy this morning,sadness
i just feel like a smarter more well rounded person because of it,joy
i could feel its warmth in the strange stillness and it comforted me,fear
i am feeling pleasant,joy
i feel in my belly perfect two you can be the butterflies i a class imagebox href http s,joy
i see food weight gain and feeling punished rather than why i have this need to be in control at all times you know those pesky underlying issues,sadness
i feel yet you are so heartless and go for the men that will break your heart,anger
i feel reassured to know that i have some good luck in this world,joy
i feel fearful,fear
im feeling craving theres always a tender morsel of a song ready to appease my appetite,love
i feel the word rich is accurate to describe texture and color payoff,joy
i feel most unwelcome,sadness
i am a runner probably i would really feel far more safe in the title,joy
im feeling a lil restless about axel,fear
i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone,fear
i know its not my fault but after failing to keep three babies alive in my womb how else should i feel two friends came by with a sweet gift and a sandwich for todd,love
i added muas primer to mine and it makes my skin feel lovely,love
i feel so rude i thought as i dialed my house,anger
i feel more self assured and confident in my abilities,joy
i miss feeling like im cute enough to be considered to be taken home,joy
i feel stupid and thoughtless,sadness
i am here to update my blog just found out that my blog looks feels dull when there are no updates,sadness
i wouldn t feel submissive which has it s place but not in the work environment,sadness
i mean think about how that would feel that would be stupid embarrassing,sadness
i think i am feeling more generous today,joy
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,anger
i wish to feel your tender bites,love
i can see the shallow of many lives and if i try to give love or atention to that person then i can see the distance and the confusion looks to me that people stop trusting others and feel insulted or misstreated by affeccion,anger
i am now feeling the onset of an unpleasant sort of tourist panic,sadness
i already went out of my way to be as considerate as possible to others but now i feel like i am being abused,sadness
im feeling particularly brave my armpits but common sense be damned,joy
ive heard it so many times already im already feeling skeptical of whatever they say,fear
i feel so pissed and i feel like sleeping s,anger
i feel really lucky to be part of it,joy
i pulled myself off the blanket and bed was really feeling rather gloomy,sadness
i was wrong loads of times so much so that i feel kind of embarrassed thinking back now,sadness
i know a lot of councillors who do not feel they get a sympathetic hearing from their local newspapers,love
i don t feel depressed because i m missing out on all my american traditions or commodities,sadness
i don t mean to be rude but i don t feel i want to be troubled with the thoughts right now,sadness
i feel more adventurous willing to take risks,joy
i still have that feeling to you until now ya the feeling to loving you,love
i didnt feel terrified,fear
i get the feeling that the rest of yall are a little appalled about it,anger
i do feel that you are a little needy because of the tone in your note to me,sadness
i did feel a little lighter in spirit now that i knew that neither he nor warrick despised me for my incredible naivety and stupidity,anger
im feeling so doubtful today,fear
i am in caretaker mode i feel disillusioned with the computer,sadness
i have felt that true forgiveness comes when you yourself feel that you are no longer victimized and you heal yourself from within,sadness
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness
